id,name,state_abbreviation,population_raw_value,cluster,cluster_label
13161,Jeff Davis County,GA,14906,1,Advantaged socioeconomic profile
13167,Johnson County,GA,9282,1,Advantaged socioeconomic profile
13169,Jones County,GA,28969,1,Advantaged socioeconomic profile
13171,Lamar County,GA,20401,1,Advantaged socioeconomic profile
13181,Lincoln County,GA,7879,1,Advantaged socioeconomic profile
13183,Long County,GA,19594,1,Advantaged socioeconomic profile
13187,Lumpkin County,GA,35258,1,Advantaged socioeconomic profile
13195,Madison County,GA,32191,1,Advantaged socioeconomic profile
13199,Meriwether County,GA,20931,1,Advantaged socioeconomic profile
13213,Murray County,GA,41035,1,Advantaged socioeconomic profile
13221,Oglethorpe County,GA,15754,1,Advantaged socioeconomic profile
13227,Pickens County,GA,35969,1,Advantaged socioeconomic profile
13229,Pierce County,GA,20425,1,Advantaged socioeconomic profile
13251,Screven County,GA,14174,1,Advantaged socioeconomic profile
13267,Tattnall County,GA,24296,1,Advantaged socioeconomic profile
13289,Twiggs County,GA,7691,1,Advantaged socioeconomic profile
13291,Union County,GA,27124,1,Advantaged socioeconomic profile
13295,Walker County,GA,69489,1,Advantaged socioeconomic profile
13311,White County,GA,29026,1,Advantaged socioeconomic profile
13313,Whitfield County,GA,103687,1,Advantaged socioeconomic profile
13315,Wilcox County,GA,8779,1,Advantaged socioeconomic profile
19047,Crawford County,IA,16013,1,Advantaged socioeconomic profile
19051,Davis County,IA,9169,1,Advantaged socioeconomic profile
19053,Decatur County,IA,7665,1,Advantaged socioeconomic profile
19069,Franklin County,IA,9875,1,Advantaged socioeconomic profile
19107,Keokuk County,IA,9914,1,Advantaged socioeconomic profile
19115,Louisa County,IA,10513,1,Advantaged socioeconomic profile
16009,Benewah County,ID,10369,1,Advantaged socioeconomic profile
16015,Boise County,ID,8517,1,Advantaged socioeconomic profile
16047,Gooding County,ID,16061,1,Advantaged socioeconomic profile
16053,Jerome County,ID,25479,1,Advantaged socioeconomic profile
16061,Lewis County,ID,3739,1,Advantaged socioeconomic profile
16063,Lincoln County,ID,5450,1,Advantaged socioeconomic profile
16073,Owyhee County,ID,12722,1,Advantaged socioeconomic profile
16077,Power County,ID,8253,1,Advantaged socioeconomic profile
16079,Shoshone County,ID,14026,1,Advantaged socioeconomic profile
17017,Cass County,IL,12596,1,Advantaged socioeconomic profile
17025,Clay County,IL,12999,1,Advantaged socioeconomic profile
17051,Fayette County,IL,21164,1,Advantaged socioeconomic profile
17061,Greene County,IL,11543,1,Advantaged socioeconomic profile
17069,Hardin County,IL,3569,1,Advantaged socioeconomic profile
17087,Johnson County,IL,13326,1,Advantaged socioeconomic profile
17101,Lawrence County,IL,14813,1,Advantaged socioeconomic profile
17121,Marion County,IL,36673,1,Advantaged socioeconomic profile
17127,Massac County,IL,13661,1,Advantaged socioeconomic profile
17165,Saline County,IL,22873,1,Advantaged socioeconomic profile
18001,Adams County,IN,36288,1,Advantaged socioeconomic profile
18015,Carroll County,IN,20525,1,Advantaged socioeconomic profile
18023,Clinton County,IN,32730,1,Advantaged socioeconomic profile
18075,Jay County,IN,20032,1,Advantaged socioeconomic profile
18087,Lagrange County,IN,40907,1,Advantaged socioeconomic profile
18103,Miami County,IN,35402,1,Advantaged socioeconomic profile
18111,Newton County,IN,13960,1,Advantaged socioeconomic profile
18119,Owen County,IN,21532,1,Advantaged socioeconomic profile
18121,Parke County,IN,16484,1,Advantaged socioeconomic profile
18135,Randolph County,IN,24216,1,Advantaged socioeconomic profile
18137,Ripley County,IN,29227,1,Advantaged socioeconomic profile
18149,Starke County,IN,23206,1,Advantaged socioeconomic profile
18161,Union County,IN,6973,1,Advantaged socioeconomic profile
18175,Washington County,IN,28205,1,Advantaged socioeconomic profile
20001,Allen County,KS,12412,1,Advantaged socioeconomic profile
20003,Anderson County,KS,7838,1,Advantaged socioeconomic profile
20007,Barber County,KS,4071,1,Advantaged socioeconomic profile
20009,Barton County,KS,24899,1,Advantaged socioeconomic profile
20011,Bourbon County,KS,14408,1,Advantaged socioeconomic profile
20021,Cherokee County,KS,19054,1,Advantaged socioeconomic profile
20035,Cowley County,KS,34157,1,Advantaged socioeconomic profile
20049,Elk County,KS,2467,1,Advantaged socioeconomic profile
20055,Finney County,KS,37466,1,Advantaged socioeconomic profile
20057,Ford County,KS,33980,1,Advantaged socioeconomic profile
20065,Graham County,KS,2376,1,Advantaged socioeconomic profile
20067,Grant County,KS,7147,1,Advantaged socioeconomic profile
20069,Gray County,KS,5743,1,Advantaged socioeconomic profile
20073,Greenwood County,KS,5870,1,Advantaged socioeconomic profile
20075,Hamilton County,KS,2437,1,Advantaged socioeconomic profile
20077,Harper County,KS,5435,1,Advantaged socioeconomic profile
20093,Kearny County,KS,3823,1,Advantaged socioeconomic profile
20095,Kingman County,KS,7066,1,Advantaged socioeconomic profile
20099,Labette County,KS,19728,1,Advantaged socioeconomic profile
20107,Linn County,KS,9860,1,Advantaged socioeconomic profile
20111,Lyon County,KS,32172,1,Advantaged socioeconomic profile
20115,Marion County,KS,11690,1,Advantaged socioeconomic profile
20125,Montgomery County,KS,30568,1,Advantaged socioeconomic profile
20129,Morton County,KS,2580,1,Advantaged socioeconomic profile
20139,Osage County,KS,15824,1,Advantaged socioeconomic profile
20141,Osborne County,KS,3427,1,Advantaged socioeconomic profile
20147,Phillips County,KS,4761,1,Advantaged socioeconomic profile
20165,Rush County,KS,2830,1,Advantaged socioeconomic profile
20175,Seward County,KS,21067,1,Advantaged socioeconomic profile
20185,Stafford County,KS,3909,1,Advantaged socioeconomic profile
20189,Stevens County,KS,5077,1,Advantaged socioeconomic profile
20203,Wichita County,KS,2082,1,Advantaged socioeconomic profile
20205,Wilson County,KS,8382,1,Advantaged socioeconomic profile
21001,Adair County,KY,19264,1,Advantaged socioeconomic profile
21003,Allen County,KY,21788,1,Advantaged socioeconomic profile
21011,Bath County,KY,12975,1,Advantaged socioeconomic profile
21023,Bracken County,KY,8426,1,Advantaged socioeconomic profile
21027,Breckinridge County,KY,21124,1,Advantaged socioeconomic profile
21031,Butler County,KY,12375,1,Advantaged socioeconomic profile
21033,Caldwell County,KY,12551,1,Advantaged socioeconomic profile
21041,Carroll County,KY,10987,1,Advantaged socioeconomic profile
21061,Edmonson County,KY,12448,1,Advantaged socioeconomic profile
21069,Fleming County,KY,15442,1,Advantaged socioeconomic profile
21079,Garrard County,KY,17829,1,Advantaged socioeconomic profile
21087,Green County,KY,11468,1,Advantaged socioeconomic profile
21099,Hart County,KY,19724,1,Advantaged socioeconomic profile
21109,Jackson County,KY,13104,1,Advantaged socioeconomic profile
21123,Larue County,KY,15303,1,Advantaged socioeconomic profile
21135,Lewis County,KY,12973,1,Advantaged socioeconomic profile
21137,Lincoln County,KY,24776,1,Advantaged socioeconomic profile
21139,Livingston County,KY,8892,1,Advantaged socioeconomic profile
21147,McCreary County,KY,17050,1,Advantaged socioeconomic profile
21169,Metcalfe County,KY,10482,1,Advantaged socioeconomic profile
21175,Morgan County,KY,14283,1,Advantaged socioeconomic profile
21177,Muhlenberg County,KY,30568,1,Advantaged socioeconomic profile
21181,Nicholas County,KY,7686,1,Advantaged socioeconomic profile
21183,Ohio County,KY,23626,1,Advantaged socioeconomic profile
21197,Powell County,KY,12972,1,Advantaged socioeconomic profile
21207,Russell County,KY,18279,1,Advantaged socioeconomic profile
21219,Todd County,KY,12494,1,Advantaged socioeconomic profile
21225,Union County,KY,13106,1,Advantaged socioeconomic profile
21233,Webster County,KY,12726,1,Advantaged socioeconomic profile
22003,Allen Parish,LA,22112,1,Advantaged socioeconomic profile
22007,Assumption Parish,LA,20160,1,Advantaged socioeconomic profile
22011,Beauregard Parish,LA,36827,1,Advantaged socioeconomic profile
22031,De Soto Parish,LA,27114,1,Advantaged socioeconomic profile
22037,East Feliciana Parish,LA,19229,1,Advantaged socioeconomic profile
22043,Grant Parish,LA,21911,1,Advantaged socioeconomic profile
22049,Jackson Parish,LA,14746,1,Advantaged socioeconomic profile
22053,Jefferson Davis Parish,LA,31553,1,Advantaged socioeconomic profile
22059,LaSalle Parish,LA,14800,1,Advantaged socioeconomic profile
22057,Lafourche Parish,LA,95056,1,Advantaged socioeconomic profile
22085,Sabine Parish,LA,21906,1,Advantaged socioeconomic profile
22099,St. Martin Parish,LA,51057,1,Advantaged socioeconomic profile
22109,Terrebonne Parish,LA,103616,1,Advantaged socioeconomic profile
22113,Vermilion Parish,LA,56992,1,Advantaged socioeconomic profile
22115,Vernon Parish,LA,46250,1,Advantaged socioeconomic profile
23021,Piscataquis County,ME,17486,1,Advantaged socioeconomic profile
23029,Washington County,ME,31555,1,Advantaged socioeconomic profile
26001,Alcona County,MI,10489,1,Advantaged socioeconomic profile
26023,Branch County,MI,45215,1,Advantaged socioeconomic profile
26051,Gladwin County,MI,25853,1,Advantaged socioeconomic profile
26053,Gogebic County,MI,14224,1,Advantaged socioeconomic profile
26059,Hillsdale County,MI,45587,1,Advantaged socioeconomic profile
26069,Iosco County,MI,25373,1,Advantaged socioeconomic profile
26071,Iron County,MI,11740,1,Advantaged socioeconomic profile
26079,Kalkaska County,MI,18490,1,Advantaged socioeconomic profile
26085,Lake County,MI,12734,1,Advantaged socioeconomic profile
26095,Luce County,MI,6435,1,Advantaged socioeconomic profile
26129,Ogemaw County,MI,20990,1,Advantaged socioeconomic profile
26131,Ontonagon County,MI,5906,1,Advantaged socioeconomic profile
26133,Osceola County,MI,23330,1,Advantaged socioeconomic profile
26135,Oscoda County,MI,8545,1,Advantaged socioeconomic profile
26141,Presque Isle County,MI,13285,1,Advantaged socioeconomic profile
26143,Roscommon County,MI,23863,1,Advantaged socioeconomic profile
27087,Mahnomen County,MN,5280,1,Advantaged socioeconomic profile
29005,Atchison County,MO,5107,1,Advantaged socioeconomic profile
29007,Audrain County,MO,24394,1,Advantaged socioeconomic profile
29009,Barry County,MO,35265,1,Advantaged socioeconomic profile
29011,Barton County,MO,11731,1,Advantaged socioeconomic profile
29013,Bates County,MO,16242,1,Advantaged socioeconomic profile
29017,Bollinger County,MO,10544,1,Advantaged socioeconomic profile
29025,Caldwell County,MO,8955,1,Advantaged socioeconomic profile
29033,Carroll County,MO,8391,1,Advantaged socioeconomic profile
29035,Carter County,MO,5303,1,Advantaged socioeconomic profile
29039,Cedar County,MO,14672,1,Advantaged socioeconomic profile
29041,Chariton County,MO,7399,1,Advantaged socioeconomic profile
29045,Clark County,MO,6641,1,Advantaged socioeconomic profile
29055,Crawford County,MO,22719,1,Advantaged socioeconomic profile
29057,Dade County,MO,7716,1,Advantaged socioeconomic profile
29059,Dallas County,MO,17768,1,Advantaged socioeconomic profile
29061,Daviess County,MO,8551,1,Advantaged socioeconomic profile
29065,Dent County,MO,14647,1,Advantaged socioeconomic profile
29067,Douglas County,MO,12228,1,Advantaged socioeconomic profile
29075,Gentry County,MO,6287,1,Advantaged socioeconomic profile
29079,Grundy County,MO,9815,1,Advantaged socioeconomic profile
29081,Harrison County,MO,8220,1,Advantaged socioeconomic profile
29083,Henry County,MO,22485,1,Advantaged socioeconomic profile
29093,Iron County,MO,9440,1,Advantaged socioeconomic profile
29097,Jasper County,MO,125056,1,Advantaged socioeconomic profile
29105,Laclede County,MO,36680,1,Advantaged socioeconomic profile
29107,Lafayette County,MO,33196,1,Advantaged socioeconomic profile
29109,Lawrence County,MO,38872,1,Advantaged socioeconomic profile
29111,Lewis County,MO,9818,1,Advantaged socioeconomic profile
29113,Lincoln County,MO,64699,1,Advantaged socioeconomic profile
29115,Linn County,MO,11791,1,Advantaged socioeconomic profile
29117,Livingston County,MO,14557,1,Advantaged socioeconomic profile
29121,Macon County,MO,15161,1,Advantaged socioeconomic profile
29123,Madison County,MO,12698,1,Advantaged socioeconomic profile
29119,McDonald County,MO,23903,1,Advantaged socioeconomic profile
29129,Mercer County,MO,3469,1,Advantaged socioeconomic profile
29131,Miller County,MO,25590,1,Advantaged socioeconomic profile
29133,Mississippi County,MO,11822,1,Advantaged socioeconomic profile
29135,Moniteau County,MO,15256,1,Advantaged socioeconomic profile
29137,Monroe County,MO,8698,1,Advantaged socioeconomic profile
29139,Montgomery County,MO,11459,1,Advantaged socioeconomic profile
29141,Morgan County,MO,21970,1,Advantaged socioeconomic profile
29143,New Madrid County,MO,15424,1,Advantaged socioeconomic profile
29145,Newton County,MO,60677,1,Advantaged socioeconomic profile
29153,Ozark County,MO,8970,1,Advantaged socioeconomic profile
29159,Pettis County,MO,43530,1,Advantaged socioeconomic profile
29163,Pike County,MO,17935,1,Advantaged socioeconomic profile
29167,Polk County,MO,32780,1,Advantaged socioeconomic profile
29171,Putnam County,MO,4638,1,Advantaged socioeconomic profile
29173,Ralls County,MO,10489,1,Advantaged socioeconomic profile
29175,Randolph County,MO,24109,1,Advantaged socioeconomic profile
29179,Reynolds County,MO,5950,1,Advantaged socioeconomic profile
29181,Ripley County,MO,10806,1,Advantaged socioeconomic profile
29195,Saline County,MO,23049,1,Advantaged socioeconomic profile
29197,Schuyler County,MO,4053,1,Advantaged socioeconomic profile
29199,Scotland County,MO,4676,1,Advantaged socioeconomic profile
29201,Scott County,MO,37889,1,Advantaged socioeconomic profile
29203,Shannon County,MO,7238,1,Advantaged socioeconomic profile
29205,Shelby County,MO,5931,1,Advantaged socioeconomic profile
29185,St. Clair County,MO,9752,1,Advantaged socioeconomic profile
29187,St. Francois County,MO,67058,1,Advantaged socioeconomic profile
29207,Stoddard County,MO,28397,1,Advantaged socioeconomic profile
29209,Stone County,MO,32658,1,Advantaged socioeconomic profile
29211,Sullivan County,MO,5797,1,Advantaged socioeconomic profile
29213,Taney County,MO,56775,1,Advantaged socioeconomic profile
29215,Texas County,MO,25619,1,Advantaged socioeconomic profile
29217,Vernon County,MO,19710,1,Advantaged socioeconomic profile
29225,Webster County,MO,41472,1,Advantaged socioeconomic profile
29227,Worth County,MO,1907,1,Advantaged socioeconomic profile
29229,Wright County,MO,19403,1,Advantaged socioeconomic profile
28003,Alcorn County,MS,34135,1,Advantaged socioeconomic profile
28005,Amite County,MS,12442,1,Advantaged socioeconomic profile
28009,Benton County,MS,7438,1,Advantaged socioeconomic profile
28013,Calhoun County,MS,12685,1,Advantaged socioeconomic profile
28015,Carroll County,MS,9535,1,Advantaged socioeconomic profile
28019,Choctaw County,MS,8088,1,Advantaged socioeconomic profile
28023,Clarke County,MS,15228,1,Advantaged socioeconomic profile
28029,Copiah County,MS,27664,1,Advantaged socioeconomic profile
28037,Franklin County,MS,7610,1,Advantaged socioeconomic profile
28041,Greene County,MS,13601,1,Advantaged socioeconomic profile
28045,Hancock County,MS,46159,1,Advantaged socioeconomic profile
28057,Itawamba County,MS,24093,1,Advantaged socioeconomic profile
28061,Jasper County,MS,16013,1,Advantaged socioeconomic profile
28079,Leake County,MS,21258,1,Advantaged socioeconomic profile
28095,Monroe County,MS,33609,1,Advantaged socioeconomic profile
28101,Newton County,MS,21019,1,Advantaged socioeconomic profile
28109,Pearl River County,MS,57978,1,Advantaged socioeconomic profile
28111,Perry County,MS,11315,1,Advantaged socioeconomic profile
28115,Pontotoc County,MS,31535,1,Advantaged socioeconomic profile
28117,Prentiss County,MS,25135,1,Advantaged socioeconomic profile
28129,Smith County,MS,14099,1,Advantaged socioeconomic profile
28131,Stone County,MS,18756,1,Advantaged socioeconomic profile
28135,Tallahatchie County,MS,11837,1,Advantaged socioeconomic profile
28137,Tate County,MS,28261,1,Advantaged socioeconomic profile
28139,Tippah County,MS,21287,1,Advantaged socioeconomic profile
28145,Union County,MS,28284,1,Advantaged socioeconomic profile
28155,Webster County,MS,9988,1,Advantaged socioeconomic profile
30003,Big Horn County,MT,12751,1,Advantaged socioeconomic profile
30005,Blaine County,MT,6899,1,Advantaged socioeconomic profile
30007,Broadwater County,MT,8032,1,Advantaged socioeconomic profile
30035,Glacier County,MT,13609,1,Advantaged socioeconomic profile
30039,Granite County,MT,3595,1,Advantaged socioeconomic profile
30041,Hill County,MT,16276,1,Advantaged socioeconomic profile
30051,Liberty County,MT,1974,1,Advantaged socioeconomic profile
30061,Mineral County,MT,5090,1,Advantaged socioeconomic profile
30065,Musselshell County,MT,5308,1,Advantaged socioeconomic profile
30071,Phillips County,MT,4249,1,Advantaged socioeconomic profile
30073,Pondera County,MT,6125,1,Advantaged socioeconomic profile
30077,Powell County,MT,7133,1,Advantaged socioeconomic profile
30085,Roosevelt County,MT,10319,1,Advantaged socioeconomic profile
30091,Sheridan County,MT,3498,1,Advantaged socioeconomic profile
30101,Toole County,MT,5133,1,Advantaged socioeconomic profile
30105,Valley County,MT,7474,1,Advantaged socioeconomic profile
37003,Alexander County,NC,36473,1,Advantaged socioeconomic profile
37005,Alleghany County,NC,11342,1,Advantaged socioeconomic profile
37009,Ashe County,NC,27063,1,Advantaged socioeconomic profile
37011,Avery County,NC,17561,1,Advantaged socioeconomic profile
37023,Burke County,NC,88338,1,Advantaged socioeconomic profile
37027,Caldwell County,NC,80574,1,Advantaged socioeconomic profile
37033,Caswell County,NC,22807,1,Advantaged socioeconomic profile
37039,Cherokee County,NC,29959,1,Advantaged socioeconomic profile
37057,Davidson County,NC,174804,1,Advantaged socioeconomic profile
37061,Duplin County,NC,49520,1,Advantaged socioeconomic profile
37069,Franklin County,NC,77001,1,Advantaged socioeconomic profile
37075,Graham County,NC,8052,1,Advantaged socioeconomic profile
37085,Harnett County,NC,141477,1,Advantaged socioeconomic profile
37113,Macon County,NC,38412,1,Advantaged socioeconomic profile
37115,Madison County,NC,22071,1,Advantaged socioeconomic profile
37111,McDowell County,NC,44893,1,Advantaged socioeconomic profile
37121,Mitchell County,NC,14999,1,Advantaged socioeconomic profile
37123,Montgomery County,NC,26085,1,Advantaged socioeconomic profile
37137,Pamlico County,NC,12423,1,Advantaged socioeconomic profile
37143,Perquimans County,NC,13377,1,Advantaged socioeconomic profile
37149,Polk County,NC,20060,1,Advantaged socioeconomic profile
37151,Randolph County,NC,147458,1,Advantaged socioeconomic profile
37157,Rockingham County,NC,92518,1,Advantaged socioeconomic profile
37159,Rowan County,NC,151661,1,Advantaged socioeconomic profile
37161,Rutherford County,NC,65507,1,Advantaged socioeconomic profile
37167,Stanly County,NC,65699,1,Advantaged socioeconomic profile
37169,Stokes County,NC,45532,1,Advantaged socioeconomic profile
37171,Surry County,NC,71462,1,Advantaged socioeconomic profile
37173,Swain County,NC,13916,1,Advantaged socioeconomic profile
37175,Transylvania County,NC,33549,1,Advantaged socioeconomic profile
37185,Warren County,NC,18836,1,Advantaged socioeconomic profile
37193,Wilkes County,NC,66013,1,Advantaged socioeconomic profile
37197,Yadkin County,NC,37774,1,Advantaged socioeconomic profile
37199,Yancey County,NC,18938,1,Advantaged socioeconomic profile
38005,Benson County,ND,5745,1,Advantaged socioeconomic profile
31043,Dakota County,NE,21268,1,Advantaged socioeconomic profile
31057,Dundy County,NE,1561,1,Advantaged socioeconomic profile
31069,Garden County,NE,1794,1,Advantaged socioeconomic profile
31133,Pawnee County,NE,2512,1,Advantaged socioeconomic profile
31161,Sheridan County,NE,4928,1,Advantaged socioeconomic profile
31173,Thurston County,NE,6557,1,Advantaged socioeconomic profile
35006,Cibola County,NM,26780,1,Advantaged socioeconomic profile
35007,Colfax County,NM,12255,1,Advantaged socioeconomic profile
35011,DeBaca County,NM,1657,1,Advantaged socioeconomic profile
35015,Eddy County,NM,60275,1,Advantaged socioeconomic profile
35017,Grant County,NM,27472,1,Advantaged socioeconomic profile
35019,Guadalupe County,NM,4292,1,Advantaged socioeconomic profile
35023,Hidalgo County,NM,3965,1,Advantaged socioeconomic profile
35025,Lea County,NM,72101,1,Advantaged socioeconomic profile
35027,Lincoln County,NM,20029,1,Advantaged socioeconomic profile
35035,Otero County,NM,68835,1,Advantaged socioeconomic profile
35039,Rio Arriba County,NM,39876,1,Advantaged socioeconomic profile
35053,Socorro County,NM,15963,1,Advantaged socioeconomic profile
35057,Torrance County,NM,15633,1,Advantaged socioeconomic profile
35059,Union County,NM,3964,1,Advantaged socioeconomic profile
35061,Valencia County,NM,79141,1,Advantaged socioeconomic profile
32019,Lyon County,NV,62583,1,Advantaged socioeconomic profile
32021,Mineral County,NV,4528,1,Advantaged socioeconomic profile
36073,Orleans County,NY,39124,1,Advantaged socioeconomic profile
39013,Belmont County,OH,64918,1,Advantaged socioeconomic profile
39015,Brown County,OH,43777,1,Advantaged socioeconomic profile
39029,Columbiana County,OH,100182,1,Advantaged socioeconomic profile
39031,Coshocton County,OH,36869,1,Advantaged socioeconomic profile
39053,Gallia County,OH,28986,1,Advantaged socioeconomic profile
39059,Guernsey County,OH,38089,1,Advantaged socioeconomic profile
39065,Hardin County,OH,30368,1,Advantaged socioeconomic profile
39073,Hocking County,OH,27540,1,Advantaged socioeconomic profile
